ref	head	reachable_from_origin_main	subject
refs/heads/codex/crew06_10-impl	678c3e2742fb0f1f93252b1ebd935a4248e85334	true	wip(crew06_10): UNREVIEWED preserve timing and interrupt safety
refs/heads/codex/crew06_10-integration-replay-manifest	67584a4e80a465285653954c97eb70ffe42946d7	true	docs(crew06_10): UNREVIEWED correct contract custody
refs/heads/codex/crew06_10-product-handoff	4eef51f9230ce2705e36bafd88b9f93722b1200f	false	docs(crew06_10): UNREVIEWED correct evidence provenance
refs/heads/codex/crew06_5-review2	c9be5541d45ac5c1d0987e1a1da2f98b515fab81	false	wip(crew): preserve recruitment acceptance repair
refs/heads/codex/crew06_6	d07f38de8a6dece76898593bdd2fa817c11fa39a	false	feat(crew): furnish layer three jobs
refs/heads/codex/crew06_7	f68c94208d8532144e52a860f4fad9ee46c41a02	false	feat(crew): add coordinated casino plays
refs/heads/codex/crew06_8	612c04c669aa4a67e5d31aec60e48944fa84a0f7	false	fix: enforce heist setup boundaries
refs/heads/codex/crew06_9	268365041d44226918152172a5746f9582df2f27	false	Add crew turn behavior contracts
refs/heads/codex/cross-balance	1c0dec3b1e091939cccc8295b9a218be2aa42b96	false	balance06_1: archive partial audit evidence and handoff
refs/heads/codex/cross-board	114271b0ad952e72b6545d49e63aff0e67edd78a	false	board06_1: synchronize depth program rows
refs/heads/codex/cross-completion-integration	9de77b03a1fc463d2bac80a38ef019ac6def9822	false	cross06_0: require pusher9 golden structure proof
refs/heads/codex/cross-meta	d7052142ac8feda664589f3b5dab7a49b4c39703	false	meta06_1: add reporting acceptance coverage
refs/heads/codex/cross-polish	be14c1ce471d4bb4cb8b633a2fc76a34c397de47	false	polish06_0: park release artifact templates
refs/heads/codex/cross-pusher-audit	554773c6493d6740fb29034e19abda4b23198a94	false	Merge pusherv3_10 dependency into cross completion
refs/heads/codex/cross-remediation	3e5c0378e6d2ba966143b064768a4eda8da064bc	false	fix(test): keep surface harness aligned
refs/heads/codex/depth06_1-prestage	5d44725b7346b64226d1a01c06a4153b5c875d62	true	WIP UNREVIEWED depth06_1: correct archetype cardinality
refs/heads/codex/depth-env-runtime	a6bf9519dbe34065ae0b054b0bd927f17812dc49	false	Merge commit '6f6e98c64d1a20ecbf29ec14f281dcccf269f972' into codex/depth-env-runtime
refs/heads/codex/depth-env-runtime-2	a5ae1d8f2cf843ea7be7a562aea04c38638ec6b0	false	env06_6: harden exact evidence validation
refs/heads/codex/depth-env-runtime-3	6f6e98c64d1a20ecbf29ec14f281dcccf269f972	false	env06_6: fail closed without event definitions
refs/heads/codex/depth-env-runtime-4	078dcd1f10fb99edf2c0ef26d7ea7f3e79ee30f9	false	wip(consolidation): preserve unfinished local state from D:/Projects/Beat-The-House-worktrees/depth-env-lifecycle-remediation
refs/heads/codex/depth-env-runtime-5	fc0b80857c83bbf45bf7f6390d06f82b94f01706	false	env06_6: bind sealed semantic collection membership
refs/heads/codex/depth-program-integration	7dd770ad926184196daee6be2aba40a8bb7b9bd0	false	board06_1: split and archive the active board
refs/heads/codex/env06_5	6654768f10acf639141a969e194dbdf8f99a9cf8	false	docs(board): block env06_5 on craps normalization
refs/heads/codex/env06_5_validation	934716310b7029eaa81570c9d0bb0291b4e7b4ee	false	fix(craps): keep street preview observational
refs/heads/codex/env06_6-07probe	e4aab0cf604aefbb4d4120dab6272fb8e11dad80	false	wip(consolidation): preserve unfinished local state from D:/Projects/Beat-The-House-worktrees/land06-env06_6-07probe
refs/heads/codex/env06_6b-save-byte-owner-decision	3861e8efbaf63ec7f4d096a1a740c5f88a3ab57b	false	docs(env06_6b): UNREVIEWED save authority owner decision
refs/heads/codex/env06_6b-second-rejection-owner-decision	cde170b8f61d3c9961965bcb9f64352ed7f59cf5	false	docs(env06_6b): UNREVIEWED second-rejection owner decision
refs/heads/codex/env06_6b-smoke-remediation	7940b7df3fd254d535fd33eae492ff1a967b348a	false	QUIESCE-IDLE: env/world lane idle for fifth-landing measurement
refs/heads/codex/env06_7-assembly	8ed9554df25f5c5201930af0a3d6fa2b75bff26b	false	feat(env06_7): complete package A physical sequences
refs/heads/codex/env06_7-assembly-ordered	d78b90041691a206b48d5659b7e17e9c94b573cc	false	WIP UNREVIEWED env06_7: bind B E production spatial seam
refs/heads/codex/env06_7-c-second-rejection-decision	6d0730d72e66e31b73db7d26aa14c9e6df58fa68	false	WIP UNREVIEWED env06_7-c: stage rejection decision
refs/heads/codex/env06_7-pkg-a	6f5b11b5770225756ff0f63a1b8fe92bd211f64b	true	docs(env06_7-a): hand off first-rejection remediation
refs/heads/codex/env06_7-pkg-b	0550d97400ab3b5801a91dc4380bddf0764246e5	true	WIP UNREVIEWED env06_7-b: record assembly authority hold
refs/heads/codex/env06_7-pkg-c	4aee8b9cbd33e525406b845c2bfb3087ecd9737d	true	docs(env06_7-c): bind immutable remediation handoff
refs/heads/codex/env06_7-pkg-d	20a445f4a3fdc794966566c95d42adaa16fd38d9	true	docs(env06_7-d): hand off first-rejection remediation
refs/heads/codex/env06_7-pkg-e	08ff8e8a0c4591fc38005c802d47b266d749cf43	true	WIP UNREVIEWED env06_7-e: record assembly composition blocker
refs/heads/codex/env06-6-7-acceptance	323a88328859f42f104e56cfa3b932990660a556	true	feat(env06): complete dynamic runtime and 55-scenario rollout
refs/heads/codex/finish06-2c-validation-receipts	aa550dd4407ff4a58694a74114481e095bac658d	true	Fix receipt contract script naming
refs/heads/codex/finish06-2d84-punchline-event-scopes	262579e349bbce32b071bb571317853ea372744d	true	Align Punchline exclusive event scopes
refs/heads/codex/finish06-351-schema-memo	b770bb2a7ebf113512b0e0d814feb37e9d2a7016	true	Memoize successful scenario schema validation
refs/heads/codex/finish06-975-focused-workload	8d75b633faa74ec91801d0cad42bafdaddd379b1	false	test(env06_7): bound internal audit reuse proof
refs/heads/codex/finish06-a091-internal-audit-reuse	ee8c5c7b0602f8e3aad60baa9f05451ff86ed118	false	perf(env06_7): reuse internal rollout uniqueness audit
refs/heads/codex/finish06-a091-pair-precompute	feda4057c104ccd9a0e6080926e4f4fc2ac05b8d	true	perf(env06_7): precompute uniqueness pair inputs
refs/heads/codex/finish06-baccarat-draw-determinism	0497dec5e3caa82438ee76c082c098707aa95122	true	fix(baccarat): stabilize repeated draw structure
refs/heads/codex/finish06-craps-core-replay	e483ac659277da8fcf4ebc04f9f4f32e4a8da521	false	feat(craps06_3): replay accepted core depth slice
refs/heads/codex/finish06-craps-core-replay-0497	1905a115dd706632c2862f00a4bd4d02233f8ded	true	feat(craps06_3): replay accepted core depth slice
refs/heads/codex/finish06-crew10	402daaa8ac6b9fca0905dcf7d1317c477e8ea280	true	feat(crew06_10): land ordered poker nights and scenario bindings
refs/heads/codex/finish06-crew-core-replay-7d23	d45fccd2fa07255bf964e72e3961b2f68d086f52	true	feat(crew06_10): replay accepted core poker depth slice
refs/heads/codex/finish06-crew-legacy-learning-fix	040c06039c29547dc9424b550a6f96d74e755c0b	true	fix(crew06_10): preserve legacy tell learning
refs/heads/codex/finish06-depth06_1-c284-audit	112443bac2b2bac8cdebe3dd1a74c5d323fc35f1	true	fix(depth06_1): recover crew night registrations
refs/heads/codex/finish06-depth2	693c92d2a5086fb44e1319f9ba04bc06299218fa	true	feat(craps06_3): land tactile ritual depth and env authority
refs/heads/codex/finish06-depth-env6	f65324cfb8bacb37f166accb32fd7d585a9ef9e2	false	WIP UNREVIEWED env06_6: align full contract with recovered authority
refs/heads/codex/finish06-ee8-test-type	9750bb2ef306daa6bfaafea6e4d7c06e8fa844f4	false	test(env06_7): type exact audit target catalog
refs/heads/codex/finish06-env07-2f6-production-context2	b50dd61878d9e9e14c7b6d0d483c6aedeb09555a	true	Regenerate corrected package A routes
refs/heads/codex/finish06-env07-70f-production-context	2f6b29e1716a89bbb8e2eeb2f1334ed4c58d5b30	true	Regenerate corrected package D artifacts
refs/heads/codex/finish06-env07-993-authority-channel	d1523e113df80c21ab0bc73fe38f368ef3b475c1	true	fix(env06_7): expose authority audit review warnings
refs/heads/codex/finish06-env07-a8d-test-api	9931fa67352efc4c03634e6dbc6950333aa31ee8	true	test(env06_7): use ContentLibrary load API
refs/heads/codex/finish06-env07-abcde-b091	dd75cdf3fa529403552e2a00767f62aa808e1fb6	true	WIP UNREVIEWED env06_7: freeze b091 replay evidence
refs/heads/codex/finish06-env07-abcde-main-d47f	6d6bfd6d003b4699fff59934e26e1f6fe5f55ceb	false	WIP UNREVIEWED env06_7: replay ordered packages on current main
refs/heads/codex/finish06-env07-a-production-040c	6147fe359dd407a53861f5562132396f31c5169e	false	WIP UNREVIEWED env06_7-a: bind production semantic authority
refs/heads/codex/finish06-env07-b50-hostile-route-proof	5d362a2a87163dbde9d4a66a730e9a441f826705	true	Exercise hostile Env07 route authority
refs/heads/codex/finish06-env07-b-ordered-6147	59e478dd1f9d23e58947b3a0803e1b588680c898	false	WIP UNREVIEWED env06_7-b: recover ordered production package
refs/heads/codex/finish06-env07-c284-review-diagnostics	a8d6739f20072a71d5343360cb72ed70dc45b08f	true	fix(env06_7): keep review findings out of boot errors
refs/heads/codex/finish06-env07-c-ordered-59e4	f842c6208475307a3c0fb5f9b44251d0e4c3096f	false	wip(consolidation): preserve unfinished local state from C:/bth-finish06-env07-c-ordered-59e4
refs/heads/codex/finish06-env07-dd75-bcd-fix	c496dd06fc35e6b379084cc74a252a0105f4119a	false	wip(consolidation): preserve unfinished local state from C:/bth-finish06-env07-dd75-bcd-fix
refs/heads/codex/finish06-env07-dd75-bcd-fix2	70f971a7c9152923ebde8c0743273df6023b8153	true	fix(env06_7): refresh canonical package D derivations
refs/heads/codex/finish06-env07-dd75-typed-fix	51b79caa2d783cc1440ab5ef3fe3db0f35e274ca	false	wip(consolidation): preserve unfinished local state from C:/bth-finish06-env07-abcde-b091
refs/heads/codex/finish06-env07-d-ordered-a4c5	db2b14b07fb81a865dff3e5ab7151fb1300116e4	false	WIP UNREVIEWED env06_7-d: recover ordered layered authority
refs/heads/codex/finish06-env07-e-ordered-db2b	241ac555bebe2ae7ee928d5f84a382d7056d1599	false	WIP UNREVIEWED env06_7-e: recover ordered premium evidence
refs/heads/codex/finish06-env07-production-validation	577a1383dc813a25a5371123ca0d53085bd5542e	false	WIP UNREVIEWED env06_7: refresh repaired route signatures
refs/heads/codex/finish06-env6-integration	a79b0200cc781337041f10843ba6f05d663c2db0	true	fix(ui): restore stretched lifecycle controls without warnings
refs/heads/codex/finish06-env6-postland-lifecycle2	d22d7e41c883f8ee488502ea541214941998e84c	false	fix(env06_6): restore container-owned talk dock layout
refs/heads/codex/finish06-env6-postland-lifecycle2-current	7eaf35184ca4c76d9dd9fa7ca58e15e1c301f897	true	fix(env06_6): restore container-owned talk dock layout
refs/heads/codex/finish06-env6-postland-parse	0b487cc459f83865b45a44cf61a8d9e91a29ba62	true	fix(env06_6): close post-land UI verification
refs/heads/codex/finish06-env6-r1	520c609ccaf4177614a70a757df27a69386202a5	false	fix(env06_6b): detach turn transaction graph (UNREVIEWED)
refs/heads/codex/finish06-ffb-vivienne-greeting	365ce5354a6f5b1e5077fc2f8579e10139ec5dbc	true	fix(env06_7): seal sequence rollout and smoke budget
refs/heads/codex/finish06-game3-forward	679b1d8a8abefdb4b77c488ef229cddb1f683f95	true	WIP UNREVIEWED game06_3: close host marker and visual overlap
refs/heads/codex/finish06-game4-forward	e67915ff51c71f8f51f85ab6c080a89da347db45	true	WIP UNREVIEWED game06_4: close machine authority boundaries
refs/heads/codex/finish06-game4-verify2-forward	5ca8494ae24cdecd8d5234669cf9cba2d9c685bc	true	WIP UNREVIEWED game06_4: normalize security classifier EOL
refs/heads/codex/finish06-game4-verify-forward	1b141b8905ba15204560a2b947e354f0e6a656a9	true	WIP UNREVIEWED game06_4: classify host security allowlist validation
refs/heads/codex/finish06-game5-forward	f9952e6b4ddbe468736a54167ef9048956263176	true	WIP UNREVIEWED game06_5: recover held stock and counter depth
refs/heads/codex/finish06-game5-verify-forward	4e68cd79fda98d1d66b2611cc7399be27b46d6c2	true	WIP UNREVIEWED game06_5: repair split test ownership
refs/heads/codex/finish06-game6-forward	e4872af3a5c757fe2f803a417c1d201c779d651f	false	WIP UNREVIEWED game06_6: recover bar dice depth
refs/heads/codex/finish06-game6-product-fix	bca7a0712e3ff56c0620d139b2cec8c3ffb4e121	true	Close Bar Dice observer and RNG boundaries
refs/heads/codex/finish06-game6-verify2-forward	5c9e09af6060ebbd2ff6ea5a58890bdc8b9a43b1	true	WIP UNREVIEWED game06_6: carry Game5 ownership repairs
refs/heads/codex/finish06-game6-verify-forward	dff5e1e2ea238e75c88f407d26c1b9ea533fae44	false	WIP UNREVIEWED game06_6: bind sealed wager identity
refs/heads/codex/finish06-game7-bca-forward	81d565897e16d47c7e66a77f59905b52bac77368	true	WIP UNREVIEWED test(game06_7): type dependency constant map
refs/heads/codex/finish06-game7-forward	ed49078360463b9936a7fa4ee945daddbb4fe4d3	false	WIP UNREVIEWED game06_7: recover showdown duel depth
refs/heads/codex/finish06-game7-verify2-forward	5b3bf21d01c68f8ab8170e69e149ac70c46d703b	false	WIP UNREVIEWED game06_7: admit Showdown object contracts
refs/heads/codex/finish06-games-game1	a09bbaade780d1e987aff47be02f162d3968e240	true	WIP UNREVIEWED game06_1: invert ritual authority ownership
refs/heads/codex/finish06-games-game2	1daeba39ef5e42c9bd05c56c59b17cf6ae517ee0	false	WIP UNREVIEWED game06_2: seal blackjack host transaction
refs/heads/codex/finish06-main-red-recovery	2aee743d7691c342afd18ac4e4f840fd7ac3bc19	true	Revert "Merge branch 'codex/finish06-root-integration'"
refs/heads/codex/finish06-root-integration	9f594a752792b6858b6f375677e64190e0a4591a	true	style(env06_7): close package capture script cleanly
refs/heads/codex/finish06-world1-a1-recovery-0d45	0868279e4282666466f83140c952b9a13a9cd049	true	fix(world06_1): resume sealed delivery checkpoints
refs/heads/codex/finish06-world2-a1-recovery-0868	740918256dd8895d1a880b13afc02dca10c3433c	true	WIP UNREVIEWED world06_2: prove staged pickup surface
refs/heads/codex/finish06-world3-recovery-7409	adbc0b6804e295bf38e84f3fa6a1dc057135c650	true	WIP UNREVIEWED world06_3: seal host-rooted depth restore
refs/heads/codex/finish06-world4-recovery-adbc	b11efafa885672431425a31b4792cd51fa488514	true	docs(world06_4): record host-rooted recovery evidence
refs/heads/codex/finish06-world5-recovery-b11e	b1f10f645ebf243717af18599945cfeba85b209b	true	docs(world06_5): record host-rooted recovery evidence
refs/heads/codex/finish06-world6-recovery-b1f1	8feca1606669e4ee44b26f6aeee6f743625e84aa	true	WIP UNREVIEWED world06_6: stage host-derived heist scenes
refs/heads/codex/fix06_13-current-main-integration	62d45c2e390be815cc94b732b9930b37ff9a543c	false	WIP UNREVIEWED fix06_13: integrate accepted Web payload
refs/heads/codex/fix06_13-inline-leak-remediation	0414cefcb6b2409b7b18711c210fd9c95073cd4c	false	WIP UNREVIEWED fix06_13: preserve caller cache config
refs/heads/codex/fix06_13-parked-closeout	df9de57e4e1bc0f3e873cf5667908628ab6047f2	true	docs(fix06_13): correct closeout timestamp
refs/heads/codex/fix06_13-second-rejection-owner-decision	d79b7e1144c105cb2dc8db547de49475409814bf	false	docs(fix06_13): UNREVIEWED stage second-rejection decision
refs/heads/codex/fix06_15-route	d769ec7ead5f3b2c6d00db5bd64081eda1f24119	false	docs: route fix06_15 foundation split parser defect
refs/heads/codex/fix06_18-route	fc31b9db6c1da9473e923ffe75dfc6b526f6204e	false	docs(fix06_18): route caller transaction rollback
refs/heads/codex/fix06_21-copy-proof	b466aa7a9d191197480ac8c47b2ed725f24b8431	false	fix(coin-pusher): describe the V3 platform accurately
refs/heads/codex/fix06_21-main-smoke-health	b967311751e0a273927a27dd4caf7e132f7690a0	false	WIP UNREVIEWED fix06_21: bind post-land runtime identity
refs/heads/codex/fix06_22-post-land-verification	557af45b5cfb3c066423382ac2bce827c71e26b3	true	fix06_22: close post-land narrowing and plugin identity gaps
refs/heads/codex/fix06_24-owner-decision	a761f2c5dc0cebc2f572064eb14e243e87762223	false	docs(fix06_24): UNREVIEWED correct prompt provenance
refs/heads/codex/fix06_2-slot-checkpoint	124ced1535a772662e1000c6b2416b38c3786956	true	test(slot): guard cold checkpoint activation
refs/heads/codex/fix06_5-closeout	9c284243a948a2534bc744a0d62474d815678947	true	docs(fix06_5): record completed landing
refs/heads/codex/fix06_5-timing-predeclaration	c4e364f79fe8862dc2d7a44635d2572c1a1b2eed	false	docs(fix06_5): correct companion log counts
refs/heads/codex/fix06_6-final-closeout	e74432a3fef1b901dd9126d3bd28aaab7db50d45	true	docs(fix06_6): preserve closeout log history
refs/heads/codex/fix06_7-closeout	b22560c867f544c92830e6ddd251e019778d24a1	true	docs(fix06_7): close landed pusher copy repair
refs/heads/codex/fix06_7-stale-pusher-copy	62dba2e3b2b036d0885d209da308bf6e8655a773	false	test(crew): bind refreshed golden provenance
refs/heads/codex/fix06_9-closure-replay-intake	e8ce45588652cd5e7a4cc5cfd7623af83d0944e8	false	WIP UNREVIEWED fix06_9: prestage closure replay intake
refs/heads/codex/fix06_9-parked-closeout	c7047169b127dc17b44837e918ae80b9ceaa2813	true	docs(fix06_9): record parked landing
refs/heads/codex/fix13-pusher11-closeout	38bbfc4546420644cd354265b9afc96a34e17017	true	docs(coin-pusher): record post-land broad gates
refs/heads/codex/game06_1-contract-remediation	a2760d816c781e711ff0923c296f97b786662453	true	docs(game06_1): close receipt and action bindings
refs/heads/codex/game06_1-impl	932287ba0e049f1110cb748f02cb09047d3b42f5	true	fix(game06_1): close authenticated ritual boundaries
refs/heads/codex/game06_1-ritual-contract	6a47d19b3c60ea78e74259d11473ace8e4fba573	true	test(game06_1): close ritual contract review gaps
refs/heads/codex/game06_1-second-rejection-decision	0f64e85bb3c30484973fee3f0328b3c3c7f9a6e0	false	WIP UNREVIEWED game06_1: stage product rejection decision
refs/heads/codex/game06_1-validator-closure	85fe52381212a6c2a0740dea355d963c1420b05d	false	wip(consolidation): preserve unfinished local state from C:/bth-game06_1-contract
refs/heads/codex/game06_2-contract-only	e699d0bcfb566a022f4c4115920690874d0991ab	false	docs(game06_2): record Windows gate blocker
refs/heads/codex/game06_2-impl	2def171d4adf90c5f4f5f6b1f4c35e4c6390b82a	false	wip(game06_2): UNREVIEWED-BLOCKED stage ritual projection
refs/heads/codex/game06_2-owner-decision-evidence	958fd02d76978fe19bdbe85d405a8666d51c5193	false	docs(game06_2): UNREVIEWED second-rejection owner decision
refs/heads/codex/game06_2-remediation	4dbb83bfe6e235640352a39ec90aa80f7d221b02	false	fix(game06_2): remediate ritual authority rejection
refs/heads/codex/game06_3-impl	4c10e3b888711a52ff9331e7db3f7adee08c2a72	false	fix(game06_3): conceal squeeze card until reveal
refs/heads/codex/game06_3-second-rejection-decision	647736bcdaf819bdd0566ebf60b541bb210df7b5	false	WIP UNREVIEWED game06_3: stage second-rejection decision
refs/heads/codex/game06_4-authority-axes	abf9e2bc23c43059dc8a2e40c2ad32559b7a7a3e	false	WIP UNREVIEWED game06_4: separate authority decision axes
refs/heads/codex/game06_4-authority-decision	a691d994463cc6ac1708660e5abd1ac2fffa0e72	false	WIP UNREVIEWED game06_4: frame machine authority decision
refs/heads/codex/game06_4-first-review-remediation	a1643b525f426d45501a2b479ec918d17bb04178	false	WIP UNREVIEWED game06_4: remediate machine ritual P1s
refs/heads/codex/game06_4-impl	259d63523bbc5ef9cacc4340c3fa3eae1855b7ed	false	WIP UNREVIEWED game06_4: project live machine rituals
refs/heads/codex/game06_5-crossword-decision-evidence	19bdc9f00dcb9796343f4f1dc9a87921eec1754b	false	WIP UNREVIEWED game06_5: stage Crossword owner evidence
refs/heads/codex/game06_5-impl	8efd58bc0053e3fdf587e8ca005f9236c289bb4f	false	WIP UNREVIEWED-BLOCKED game06_5 counter ritual
refs/heads/codex/game06_6-contract-only	348ecd55886fb6c167b9ca2fa8a51e272a9939fb	false	WIP UNREVIEWED game06_6: park contract-only staging
refs/heads/codex/game06_6-dependency-replay-manifest	a9952ded1a7b0407bf89fdf07b91918485b85250	false	WIP UNREVIEWED game06_6: prestage dependency replay manifest
refs/heads/codex/game06_6-dependency-replay-manifest-r2	308d810fc03f6a8f7840bbbfab86953b96d3268f	false	WIP UNREVIEWED game06_6: close manifest review
refs/heads/codex/game06_7-contract-only	25f16c4efb723db2a0308eec5719b59b497413b7	false	WIP UNREVIEWED game06_7: park contract-only staging
refs/heads/codex/game06_7-dependency-replay-manifest	8c5e483932db96ad6f0a7d804ea6a1da408e3f17	false	docs(game06_7): UNREVIEWED pre-stage dependency replay
refs/heads/codex/game06_8-release-intake-prestage	bc42ade6def0543069117ddf064ea447d1298840	true	WIP UNREVIEWED game06_8: prestage release intake
refs/heads/codex/game06-2-main-integration	8af2398c2e53b1e1b65ddc34de5aa58bff7cf5c6	false	test(game06_2): seed missing blackjack tables observationally
refs/heads/codex/game06-2-main-integration-2	cd9cb694868208254cc4b216412041df469d3ae2	false	test(game06_2): seed missing blackjack tables observationally
refs/heads/codex/game06-2-main-integration-3	5852a41d37327c7d6d2059756a88ec4c495e2ef3	false	test(game06_2): seed missing blackjack tables observationally
refs/heads/codex/game06-2-main-integration-4	21a54249f30074dd959b3041ca86c126dedcfbc1	false	test(game06_2): seed missing blackjack tables observationally
refs/heads/codex/game06-2-main-integration-5	2ead76781ce94fe5deac323e75c601ccd79f363a	true	test: bind Linda observer to live run
refs/heads/codex/game06-2-postland-recovery	6f6c010ed92cbee839377a7dad99a24ce5dcce80	true	perf(game06_2): keep compatibility core read-only
refs/heads/codex/game06-3-main-integration-1	efd250a502030fac6569d632608863af2d20befc	false	WIP UNREVIEWED game06_3: route table games through sealed host
refs/heads/codex/game06-3-main-integration-2	e089e5fc440af8d0cbae2c06b48b8dbbb01e9476	false	fix(game06_3): close sealed table settlement P0s
refs/heads/codex/game06-3-main-integration-3	7172b0079a9091e32a9796b885dd04a52ccef3fa	true	merge(game06_3): integrate sealed table-game depth onto recovered main
refs/heads/codex/game06-4-main-recovery	b75d479462ebff22cb2f75983a383bf9616686d4	true	fix(game06_4): seal Slot acknowledgement mutation
refs/heads/codex/game06-5-held-preservation-remediation	01465fdec806478d0edf63e994bdb52b7e7e79bf	true	fix(game06_5): preserve held crossword stock
refs/heads/codex/game06-5-main-recovery	03f216bdee6718f738a8190d509cebd022acead9	true	fix(game06_5): keep counter projection bounded
refs/heads/codex/game06-6-main-recovery	7ceb4efd3adca2bb54bd24ad7e5a89fd919d4268	true	WIP UNREVIEWED game06_6: bind bar dice product depth
refs/heads/codex/game06-7-main-recovery	3e7de84af5e471038be8318cfa579ecd26f12dcc	true	fix(game06_7): bind duel surface table argument
refs/heads/codex/game06-owner-pattern-checklist	7e42c0b467e9f1034b2f8cdde63bad513775bd5a	true	docs(game06): require hostile authority acceptance case
refs/heads/codex/integ06_1-prestage	e3b915bd1102c877540e547af69a33c30d0d0ad3	true	WIP UNREVIEWED integ06_1: inventory historical save fixtures
refs/heads/codex/integrator-family1	00ee744fa6269e8a7eb34f67b2659f32d55febaa	true	QUIESCE-DONE: GREEN fifth-landing performance 46.663s
refs/heads/codex/land06-balance06_1	7967a1e1fbe563dbf8008d0e64048c46f4dcecaf	true	docs(balance06_1): correct archived evidence counts
refs/heads/codex/land06-board06_1	bf4fbc4673b1237e60942e104b8205944ef84032	true	board06_1: remove duplicate history links
refs/heads/codex/land06-board06_1-closeout	62d3ed2a45800ee503d165fb69e5698362334fd4	true	board06_1: record landed hygiene closeout
refs/heads/codex/land06-env06_6-855-current	9ea61fb8fe6c7e70a6c5db60829c28680ce2e92c	false	merge: stage rejected env06_6b payload b7da64ae
